date,R_value
2027-02-20,2.21
2027-02-21,2.17
2027-02-22,2.15
2027-02-23,2.15
2027-02-24,2.12
2027-02-25,2.13
2027-02-26,2.09
2027-02-27,2.09
2027-02-28,2.06
2027-03-01,2.03
2027-03-02,2.02
2027-03-03,2.01
2027-03-04,1.98
2027-03-05,1.99
2027-03-06,1.96
2027-03-07,1.93
2027-03-08,1.94
2027-03-09,1.91
2027-03-10,1.93
2027-03-11,1.89
2027-03-12,1.86
2027-03-13,1.84
2027-03-14,1.8
2027-03-15,1.78
2027-03-16,1.78
2027-03-17,1.74
2027-03-18,1.72
2027-03-19,1.72
2027-03-20,1.68
2027-03-21,1.68
2027-03-22,1.66
2027-03-23,1.62
2027-03-24,1.61
2027-03-25,1.53
2027-03-26,1.49
2027-03-27,1.5
2027-03-28,1.42
2027-03-29,1.42
2027-03-30,1.37
2027-03-31,1.33
2027-04-01,1.34
2027-04-02,1.28
2027-04-03,1.2
2027-04-04,1.22
2027-04-05,1.19
2027-04-06,1.13
2027-04-07,1.09
2027-04-08,1.06
2027-04-09,1.02
2027-04-10,1.0
2027-04-11,1.0
2027-04-12,0.99
2027-04-13,0.95
2027-04-14,0.9
2027-04-15,0.86
2027-04-16,0.83
2027-04-17,0.8
2027-04-18,0.79
2027-04-19,0.79
2027-04-20,0.79
2027-04-21,0.79
2027-04-22,0.79
2027-04-23,0.79
2027-04-24,0.79
2027-04-25,0.79
2027-04-26,0.78
2027-04-27,0.78
2027-04-28,0.78
2027-04-29,0.78
2027-04-30,0.78
2027-05-01,0.78
2027-05-02,0.77
2027-05-03,0.77
2027-05-04,0.77
2027-05-05,0.77
2027-05-06,0.76
2027-05-07,0.76
2027-05-08,0.76
2027-05-09,0.75
2027-05-10,0.75
2027-05-11,0.75
2027-05-12,0.75
2027-05-13,0.75
2027-05-14,0.75
2027-05-15,0.75
2027-05-16,0.75
2027-05-17,0.75
2027-05-18,0.75
2027-05-19,0.75
2027-05-20,0.75
2027-05-21,0.75
2027-05-22,0.75
2027-05-23,0.75
2027-05-24,0.75
2027-05-25,0.76
2027-05-26,0.76
2027-05-27,0.77
2027-05-28,0.77
2027-05-29,0.76
2027-05-30,0.76
2027-05-31,0.77
2027-06-01,0.77
2027-06-02,0.77
2027-06-03,0.77
2027-06-04,0.78
2027-06-05,0.78
2027-06-06,0.78
2027-06-07,0.79
2027-06-08,0.79
2027-06-09,0.78
2027-06-10,0.79
2027-06-11,0.79
2027-06-12,0.8
2027-06-13,0.8
2027-06-14,0.8
2027-06-15,0.81
2027-06-16,0.82
2027-06-17,0.82
2027-06-18,0.82
2027-06-19,0.83
2027-06-20,0.83
2027-06-21,0.84
2027-06-22,0.84
2027-06-23,0.85
2027-06-24,0.86
2027-06-25,0.86
2027-06-26,0.86
2027-06-27,0.86
2027-06-28,0.88
2027-06-29,0.88
2027-06-30,0.88
2027-07-01,0.88
2027-07-02,0.89
2027-07-03,0.9
2027-07-04,0.91
2027-07-05,0.91
2027-07-06,0.91
2027-07-07,0.92
2027-07-08,0.92
2027-07-09,0.92
2027-07-10,0.93
2027-07-11,0.93
2027-07-12,0.94
2027-07-13,0.94
2027-07-14,0.94
2027-07-15,0.94
2027-07-16,0.94
2027-07-17,0.94
2027-07-18,0.94
2027-07-19,0.95
2027-07-20,0.95
2027-07-21,0.96
2027-07-22,0.95
2027-07-23,0.96
2027-07-24,0.95
2027-07-25,0.96
2027-07-26,0.96
2027-07-27,0.96
2027-07-28,1.0
2027-07-29,1.0
2027-07-30,1.0
2027-07-31,1.0
2027-08-01,1.0
2027-08-02,1.0
2027-08-03,1.0
2027-08-04,1.0
2027-08-05,1.0
2027-08-06,1.0
2027-08-07,1.0
2027-08-08,1.0
2027-08-09,1.0
2027-08-10,1.0
2027-08-11,1.01
2027-08-12,1.02
2027-08-13,1.02
2027-08-14,1.03
2027-08-15,1.04
